english_phrase,franch _phrase
This is sentence,C'est une phrase
I dont like it,Je n'aime pas ça
you dont like it,Vous n'aimez pas ça
we dont like it,Nous ne l'aimons pas
everyone wants it,Tout le monde veut ça
"You look good, boy","Tu as l'air bien, garçon"
This is not true,Ce n'est pas vrai
I would like to tell you about it,Je voudrais vous en dire à ce sujet
Let me get things done,Laissez-moi faire des choses
I don't watch such kinds of movies,Je ne regarde pas de tels types de films
I have asked him to help me urgently,Je lui ai demandé de m'aider de toute urgence
I want to be free,je veux être libre
He was fitting with me,Il aidée avec moi
Today was a good day,Aujourd'hui était un bon jour
don't ask me about it!,Ne me demandez pas de ça!
Will you be there with your friend?,Serez-vous là avec votre ami?
Will you go with me together?,Voulez-vous aller avec moi ensemble?
Could you tell me how much time is right now?,Pourriez-vous me dire combien de temps est en ce moment?
How much does it cost,Combien ça coûte
You are pretty interesting and also beautiful,Tu es assez intéressant et aussi beau
Let me say it,Laissez-moi le dire
I will not pay for it too much,Je ne paierai pas trop pour ça
I will not go with you,Je n'irai pas avec vous
I will go,j'irai
He says it is the best choice,Il dit que c'est le meilleur choix
Good choice!,Bon choix!
"How is it going, madam?","Comment ça va, madame?"
Looks good!,Cela semble bon!
Should I care?,Devrais-je me soucier?
Let me go there now!,Laissez-moi y aller maintenant!
How good is it?,Comme c'est bon?
Will you go with me?,Voulez-vous aller avec moi?
Do you like it?,Aimez-vous?
She doesn't want to go with me,Elle ne veut pas aller avec moi
Yesterday I was walking with my frieds,Hier je marchais avec mes frits
She want to be with me,Elle veut être avec moi
How is it going?,Comment ça se passe?
"Could you speak more slowly, please",Pouvez vous parler plus lentement s'il vous plaît
What is it?,Qu'est-ce que c'est?
Do you like it?,Aimez-vous?
What do you think about it?,Qu'est-ce que tu en penses?
"But how, I dont understand","Mais comment, je ne comprends pas"
What was that?,Ca c'était quoi?
How do you make it?,Comment faites-vous cela?
It sounds weird,Ça sonne bizarre
Are you ok?,Ça va?
This is too much,C'est trop
This is so cool,C'est trop cool
I dont even know it,Je ne le sais même pas
I get it,je comprends
We dont understand him,Nous ne le comprenons pas
It is what it is,C'est comme ça
I dont want it,Je ne le veux pas
What if you say it to him?,Et si vous le dites-le?
But what if?,Mais si?
but If you go there?,Mais si vous y allez là-bas?
This is interesting but I will not go there,C'est intéressant mais je ne vais pas y aller
This is impossible,C'est impossible
This is possible,C'est possible
Maybe you are right,Peut-être que tu as raison
Probably it is the best decision,Probablement c'est la meilleure décision
Probably you are right,Probablement vous avez raison
Probably It is ok for him,Probablement ça va pour lui
Probably I will be tomorrow,Probablement je serai demain
I dont remember it,Je ne me souviens pas
I dont remember,Je ne me souviens pas
I dont want to say it right now,Je ne veux pas le dire maintenant
"Now it is ok, but after it is not","Maintenant ça va, mais après ce n'est pas"
I will go with with you,Je vais aller avec toi
You will go with me ,Tu vas aller avec moi
I will try to do it,J'essaierai de le faire
You will pay for it,Vous allez payer pour cela
What do you think is the best for me?,Que pensez-vous est le meilleur pour moi?
Do you like me?,M'aimez-vous?
Will you speak with me?,Voulez-vous parler avec moi?
Did you tell him?,Lui avez-vous dit?
Did you like him?,L'avez-vous aimé?
Did you like her?,L'avez-vous aimé?
Did you give it to me?,L'avez-vous donné à moi?
What about me?,Et moi?
