level,english,french,russian,ukrainian
1,This is simple sentence,C'est une phrase simple,Это простое предложение,Це просто речення
1,I dont like it,Je n'aime pas ça,Мне это не нравится,Я не люблю це
1,you dont like it,Vous n'aimez pas ça,тебе не нравится,Ви не любите це
1,we dont like it,Nous ne l'aimons pas,нам это не нравится,Ми не любимо це
1,everyone wants it,Tout le monde veut ça,Все этого хотят,кожен хоче
1,"You look good, boy","Tu es bon, garçon","Ты выглядишь хорошо, мальчик","Ви добре виглядаєте, хлопчик"
1,This is not true,Ce n'est pas vrai,Это неправда,Це не правда
1,I would like to tell you about it,J'aimerais vous en parler,Я хотел бы рассказать вам об этом,Я хотів би розповісти вам про це
1,Let me get things done,Laissez-moi faire les choses,Позвольте мне сделать вещи,Дозвольте мені зробити все
2,I don't watch such kinds of movies,Je ne regarde pas de tels types de films,Я не смотрю такие фильмы,Я не дивлюся такі види фільмів
2,I have asked him to help me urgently,Je lui ai demandé de m'aider de toute urgence,Я попросил его помочь мне срочно,Я попросив його допомогти мені терміново
1,I want to be free,je veux être libre,я хочу быть свободным,я хочу бути вільним
1,He was fitting with me,Il ajusté avec moi,Он умел со мной,Він був пристосований зі мною
1,Today was a good day,Aujourd'hui était un bon jour,Сегодня был хороший день,Сьогодні був гарний день
1,don't ask me about it!,Ne me demandez pas!,Не спрашивай меня об этом!,Не питайте мене про це!
2,Will you be there with your friend?,Serez-vous là avec votre ami?,Будете ли вы там со своим другом?,Чи будете ви там з вашим другом?
1,Will you go with me together?,Voulez-vous aller avec moi ensemble?,Вы пойдете со мной вместе?,Чи будете ви зі мною разом?
2,Could you tell me how much time is right now?,Pourriez-vous me dire combien de temps est en ce moment?,"Не могли бы вы сказать мне, сколько сейчас времени сейчас?","Не могли б ви сказати мені, скільки часу зараз?"
1,How much does it cost?,Combien ça coûte?,Сколько это стоит?,Скільки це коштує?
2,You are pretty interesting and also beautiful,Tu es assez intéressant et aussi beau,"Вы очень интересные, а также красивые","Ви досить цікаві, а також красиві"
1,Let me say it,Laissez-moi le dire,Позвольте мне сказать это,Дозвольте мені сказати
1,I will not pay for it too much,Je ne paierai pas pour ça trop,Я не буду платить за это слишком много,Я не буду платити за це занадто багато
1,I will not go with you,Je n'irai pas avec vous,Я не пойду с вами,Я не поїду з вами
1,I will go,j'irai,я пойду,я піду
1,He says it is the best choice,Il dit que c'est le meilleur choix,"Он говорит, что это лучший выбор","Він каже, що це найкращий вибір"
1,Good choice!,Bon choix!,Хороший выбор!,Гарний вибір!
1,"How is it going, madam?","Comment ça va, madame?","Как дела, мадам?","Як це відбувається, мадам?"
1,Looks good!,Cela semble bon!,Выглядит неплохо!,Виглядає добре!
1,Should I care?,Devrais-je m'occuper?,Должен ли я заботиться?,Чи повинен я дбати?
1,Let me go there now!,Laissez-moi y aller maintenant!,Позвольте мне идти туда сейчас!,Дозвольте мені поїхати туди!
1,How good is it?,Comme c'est bon?,Насколько это хорошо?,Наскільки добре?
1,Will you go with me?,Voulez-vous aller avec moi?,Ты поидешь со мной?,Чи будете ви зі мною?
1,Do you like it?,Aimez-vous?,Вам нравится это?,Вам це подобається?
1,She doesn't want to go with me,Elle ne veut pas aller avec moi,Она не хочет идти со мной,Вона не хоче йти зі мною
2,"Yesterday, I was walking with my frieds","Hier, je marchais avec mes frites",Вчера я шел с жареными,Вчора я ходив з моїми смаженими
1,She want to be with me,Elle veut être avec moi,Она хочет быть со мной,Вона хоче бути зі мною
1,How is it going?,Comment ça se passe?,Как дела?,Як справи?
1,"Could you speak more slowly, please?",Pouvez vous parler plus lentement s'il vous plaît?,"Не могли бы вы говорить медленнее, пожалуйста?","Не могли б ви говорити повільніше, будь ласка?"
1,What is it?,Qu'est-ce que c'est?,Что это?,Що це?
1,Do you like it?,Aimez-vous?,Вам нравится это?,Вам це подобається?
1,What do you think about it?,Qu'est-ce que tu en penses?,Что вы думаете об этом?,Що ви думаєте про це?
1,"But how, I dont understand","Mais comment, je ne comprends pas","Но как, я не понимаю","Але як, я не розумію"
1,What was that?,Ca c'était quoi?,Что это было?,Що це було?
1,How do you make it?,Comment faites-vous cela?,Как ты это делаешь?,Як ви це робите?
2,It sounds weird,Ça semble bizarre,Это звучит странно,Це звучить дивно
1,Are you ok?,Ça va?,Ты в порядке?,Все гаразд?
1,This is too much,C'est trop,Это слишком,Це занадто
1,This is so cool,C'est trop cool,Это так круто,Це так здорово
1,I dont even know it,Je ne le sais même pas,Я даже не знаю это,Я навіть не знаю
1,I get it,je comprends,Я понимаю,Я отримую це
1,We dont understand him,Nous ne le comprenons pas,Мы не понимаем его,Ми не розуміємо його
1,It is what it is,C'est comme ça,"Что есть, то есть","Це те, що це таке"
1,I dont want it,Je ne le veux pas,Я не хочу этого,Я не хочу
2,What if you say it to him?,Et si tu le dises?,"Что, если вы говорите это ему?","Що робити, якщо ви це скажете йому?"
1,But what if?,Mais si?,"Но что, если?","Але що, якщо?"
1,but If you go there?,Mais si vous y allez là-bas?,Но если вы идете туда?,Але якщо ви йдете туди?
1,This is interesting but I will not go there,C'est intéressant mais je ne vais pas y aller,"Это интересно, но я не пойду туда","Це цікаво, але я не поїду туди"
1,This is impossible,C'est impossible,Это невозможно,Це неможливо
1,This is possible,C'est possible,Это возможно,Це можливо
1,Maybe you are right,Peut-être que tu as raison,Может быть ты прав,"Можливо, ви маєте рацію"
1,Probably it is the best decision,C'est probablement la meilleure décision,"Вероятно, это лучшее решение","Напевно, це найкраще рішення"
1,Probably you are right,Probablement vous avez raison,"Возможно, вы правы","Мабуть, ви маєте рацію"
1,Probably It is ok for him,Probablement ça va pour lui,"Вероятно, это нормально для него","Ймовірно, це нормально для нього"
2,Probably I will be tomorrow,Probablement je serai demain,"Наверное, я буду завтра","Напевно, я буду завтра"
1,I dont remember this,Je ne me souviens pas de ça,Я не помню это,Я не пам'ятаю це
1,I dont remember,Je ne me souviens pas,Я не помню,Я не пам'ятаю
1,I dont want to say it right now,Je ne veux pas le dire maintenant,Я не хочу говорить это прямо сейчас,Я не хочу сказати це прямо зараз
2,"Now it is ok, but after it is not","Maintenant ça va, mais après ce n'est pas","Теперь это нормально, но после этого не","Тепер це нормально, але після цього немає"
2,I will go with you,j'irais avec toi,я пойду с тобой,Я піду з тобою
1,You will go with me ,Tu vas aller avec moi,Ты пойдешь со мной,Ви підете зі мною
1,I will try to do it,J'essaierai de le faire,Я постараюсь сделать это,Я постараюся це зробити
1,You will pay for it,Vous allez payer pour cela,Вы заплатите за это,Ви будете платити за це
2,What do you think is the best for me?,Que pensez-vous est le meilleur pour moi?,"Как вы думаете, что лучше для меня?","Що, на вашу думку, найкраще для мене?"
1,Do you like me?,M'aimez-vous?,Я вам нравлюсь?,Вам подобається?
1,Will you speak with me?,Voulez-vous parler avec moi?,Ты будешь говорить со мной?,Чи будете ви будете говорити зі мною?
1,Did you tell him?,Lui avez-vous dit?,Ты рассказал ему?,Ви його сказали?
1,Did you like him?,L'avez-vous aimé?,Тебе тебе понравился?,Вам сподобався?
1,Did you like her?,L'avez-vous aimé?,Тебе нравились ей?,Вам сподобалася її?
1,Did you give it to me?,L'avez-vous donné à moi?,Вы дали это мне?,Ви відмовилися мені?
1,What about me?,Et moi?,А что я?,Що про мене?
1,I dont know,je ne sais pas,я не знаю,не знаю
1,You dont know,Vous ne savez pas,Вы не знаете,Ви не знаєте
1,I will not go there,Je ne vais pas y aller,Я не пойду туда,Я не поїду туди
1,I want to visit new city,Je veux visiter une nouvelle ville,Я хочу посетить новый город,Я хочу відвідати нове місто
1,It was my day,C'était ma journée,Это был мой день,Це був мій день
1,What will you do tomorrow?,Que vas-tu faire demain?,Что будешь делать завтра?,Що ви будете робити завтра?
1,What is this?,Qu'est-ce que c'est?,Что это?,Що це?
1,Is this ok?,Est-ce correct?,Это нормально?,Чи це добре?
1,Are you sure?,Es-tu sûr?,Вы уверены?,Ти впевнений?
2,"Of course, I know how to work","Bien sûr, je sais travailler","Конечно, я знаю, как работать","Звичайно, я знаю, як працювати"
1,I know that you are my friend,Je sais que tu es mon ami,"Я знаю, что ты мой друг","Я знаю, що ти мій друг"
1,I know that it is ok ,Je sais que ça va,"Я знаю, что это нормально","Я знаю, що це нормально"
1,I know how much it costs,Je sais combien ça coûte,"Я знаю, сколько это стоит","Я знаю, скільки це коштує"
1,I think it is ok to say,Je pense que c'est bien de dire,"Я думаю, что это нормально, чтобы сказать","Я думаю, що це нормально сказати"
2,I think it is ok to speak with other people,Je pense que c'est bien de parler avec d'autres personnes,"Я думаю, что это нормально, чтобы поговорить с другими людьми","Я думаю, що це нормально говорити з іншими людьми"
1,I think you can do this freely,Je pense que vous pouvez le faire librement,"Я думаю, что вы можете сделать это свободно","Я думаю, ви можете зробити це вільно"
1,I dont know how to study,Je ne sais pas comment étudier,"Я не знаю, как учиться","Я не знаю, як вчитися"
1,I do study very well,J'étudie très bien,Я очень хорошо изучаю,Я дуже добре вивчаю
1,If I want it I will get it ,"Si je le veux, je vais l'obtenir","Если я хочу это, я получу это","Якщо я хочу, щоб я отримаю це"
